t_s,T_K,Sw,Si,e_Pa,dqcloud_dt,dqice_dt,qcloud,qice,Ncloud,Nice,ice_active
0.0,273.15,-0.050000000000000044,0.05555555555555536,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,273.14,-0.049309977784040115,0.05632224690662202,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,273.13,-0.04861940379583496,0.05708955133796101,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,273.12,-0.04792827755556561,0.057857469382704974,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,273.11,-0.04723659858295892,0.05862600157448994,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,273.1,-0.04654436639729509,0.05939514844744975,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,273.09000000000003,-0.045851580517400126,0.06016491053622186,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,273.08000000000004,-0.04515824046165451,0.06093528837593931,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,273.07000000000005,-0.044464345747983525,0.06170628250224053,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,273.06000000000006,-0.04376989589385882,0.062477893451267974,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,273.05000000000007,-0.043074890416305855,0.06325012175966016,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,273.0400000000001,-0.04237932883189288,0.06402296796456342,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,273.0300000000001,-0.04168321065673386,0.064796432603629,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,273.0200000000001,-0.04098653540649222,0.06557051621500865,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,273.0100000000001,-0.04028930259637542,0.0663452193373606,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,273.0000000000001,-0.03959151174113984,0.06712054250984445,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
16.0,272.9900000000001,-0.03889316235507867,0.06789648627213474,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,272.98000000000013,-0.038194253952041346,0.06867305116439848,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
18.0,272.97000000000014,-0.03749478604540857,0.06945023772732384,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
19.0,272.96000000000015,-0.03679475814811728,0.07022804650209169,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,272.95000000000016,-0.03609416977263458,0.07100647803040605,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
21.0,272.94000000000017,-0.035393020430981914,0.07178553285446454,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,272.9300000000002,-0.03469130963471756,0.07256521151698059,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
23.0,272.9200000000002,-0.03398903689493793,0.0733455145611801,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
24.0,272.9100000000002,-0.0332862017222898,0.07412644253078926,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
25.0,272.9000000000002,-0.03258280362695121,0.07490799597005426,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,272.8900000000002,-0.031878842118647555,0.07569017542372491,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
27.0,272.8800000000002,-0.031174316706640948,0.07647298143706549,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
28.0,272.87000000000023,-0.030469226899733304,0.07725641455585186,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
29.0,272.86000000000024,-0.029763572206266797,0.07804047532637015,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
30.0,272.85000000000025,-0.029057352134120418,0.07882516429542186,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
31.0,272.84000000000026,-0.028350566190711746,0.07961048201032028,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
32.0,272.83000000000027,-0.027643213882997508,0.08039642901889144,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
33.0,272.8200000000003,-0.02693529471746947,0.08118300586947846,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
34.0,272.8100000000003,-0.026226808200157437,0.08197021311093633,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
35.0,272.8000000000003,-0.02551775383662558,0.08275805129263825,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
36.0,272.7900000000003,-0.024808131131974775,0.08354652096447235,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
37.0,272.7800000000003,-0.024097939590842055,0.08433562267684214,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
38.0,272.7700000000003,-0.023387178717400037,0.0851253569806667,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
39.0,272.76000000000033,-0.02267584801535183,0.08591572442738693,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
40.0,272.75000000000034,-0.02196394698794002,0.08670672556895553,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
41.0,272.74000000000035,-0.021251475137934572,0.08749836095785057,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
42.0,272.73000000000036,-0.020538431967641158,0.08829063114706548,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
43.0,272.72000000000037,-0.019824816978899262,0.08908353669011171,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
44.0,272.7100000000004,-0.01911062967308086,0.0898770781410212,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
45.0,272.7000000000004,-0.01839586955108341,0.09067125605435167,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
46.0,272.6900000000004,-0.017680536113343304,0.09146607098517401,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
47.0,272.6800000000004,-0.016964628859821418,0.09226152348908734,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
48.0,272.6700000000004,-0.016248147290014114,0.09305761412220637,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
49.0,272.6600000000004,-0.01553109090294158,0.09385434344117605,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
50.0,272.65000000000043,-0.01481345919715571,0.09465171200316025,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
51.0,272.64000000000044,-0.014095251670741105,0.0954497203658431,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
52.0,272.63000000000045,-0.013376467821303528,0.0962483690874405,580.393,0.0,0.0,0.0,0.0,0.0,0.0,0
